================================================================================
TRAINING METRICS
================================================================================

Model: baseline_cnn_improved_no_masks
Date: 2026-01-10 21:20:27

================================================================================
SUMMARY STATISTICS
================================================================================

Total Epochs: 150

Training Metrics:
  Final Loss: 0.465884
  Best Loss: 0.465884 (Epoch 150)
  Final Accuracy: 83.41%
  Best Accuracy: 83.41% (Epoch 150)
  Final Top-5 Accuracy: 96.70%
  Best Top-5 Accuracy: 96.77% (Epoch 146)

Validation Metrics:
  Final Loss: 0.493447
  Best Loss: 0.443479 (Epoch 149)
  Final Accuracy: 83.55%
  Best Accuracy: 85.83% (Epoch 149)
  Final Top-5 Accuracy: 96.74%
  Best Top-5 Accuracy: 97.64% (Epoch 139)

================================================================================
DETAILED EPOCH-BY-EPOCH METRICS
================================================================================

Epoch    Train Loss   Train Acc    Train Top-5    Val Loss     Val Acc      Val Top-5      LR          
66       1.280776     60.60        85.61          1.052835     64.90        89.41          5.00e-04    
67       1.188518     62.94        87.29          1.020555     66.94        89.74          5.00e-04    
68       1.214606     61.54        87.10          1.030697     65.96        89.66          5.00e-04    
69       1.139322     63.88        87.64          1.192750     63.93        88.11          5.00e-04    
70       1.162667     63.08        88.06          1.079323     65.15        89.50          5.00e-04    
71       1.156694     63.84        87.80          0.975169     68.49        92.02          5.00e-04    
72       1.146623     64.19        87.55          0.976824     69.14        90.55          5.00e-04    
73       1.083867     64.44        89.23          0.975701     69.71        90.15          5.00e-04    
74       1.110030     65.33        88.79          0.912723     69.79        90.72          5.00e-04    
75       1.198086     62.90        87.48          0.999344     68.57        90.88          5.00e-04    
76       1.124347     64.04        88.18          1.301066     59.28        86.97          5.00e-04    
77       1.085830     64.98        88.70          0.930125     69.63        91.86          5.00e-04    
78       1.073707     66.08        88.53          0.888706     71.17        93.24          5.00e-04    
79       1.014625     67.46        89.42          0.901528     71.58        92.59          5.00e-04    
80       1.012681     66.62        89.98          0.884877     71.09        91.94          5.00e-04    
81       0.999748     67.70        90.59          0.975310     67.67        90.72          5.00e-04    
82       0.981085     66.81        90.78          0.978672     70.11        91.37          5.00e-04    
83       0.978034     68.24        90.00          0.934518     70.28        92.83          5.00e-04    
84       1.002174     68.33        90.24          1.014550     68.65        91.29          5.00e-04    
85       0.956248     68.26        90.17          1.083388     65.64        90.64          5.00e-04    
86       0.933001     69.41        91.01          0.903376     71.99        92.35          5.00e-04    
87       0.942797     68.89        91.11          0.874432     72.72        92.75          5.00e-04    
88       0.936227     69.03        90.92          0.868004     72.72        92.51          5.00e-04    
89       0.897545     69.73        91.38          0.790099     74.43        94.46          5.00e-04    
90       0.886077     70.60        92.04          0.799812     74.10        94.30          5.00e-04    
91       0.894752     70.15        91.83          0.871690     73.94        93.00          5.00e-04    
92       0.881241     71.75        92.14          0.762135     74.84        94.30          5.00e-04    
93       0.875905     71.72        92.13          0.888852     71.74        92.59          5.00e-04    
94       0.832695     72.14        92.37          0.841338     71.58        92.75          5.00e-04    
95       0.843150     71.94        93.05          0.814484     75.00        93.57          5.00e-04    
96       0.820414     72.45        92.63          0.876263     75.73        94.63          5.00e-04    
97       0.843271     72.56        92.49          0.845607     75.08        93.32          5.00e-04    
98       0.832556     72.94        92.48          0.901834     73.21        92.18          5.00e-04    
99       0.801441     73.10        92.63          0.975472     73.94        92.51          5.00e-04    
100      0.771965     72.94        93.37          0.707691     74.92        94.22          5.00e-04    
101      0.785987     73.64        93.17          0.786274     76.22        94.22          5.00e-04    
102      0.747833     74.49        93.54          0.732120     75.49        94.14          5.00e-04    
